2013-07-18T11-26-03.333  -11.457174,-9.196277,-13.221107
2013-07-18T11-26-03.336  14.179114,6.5916924,6.207292
2013-07-18T11-26-03.341  14.179114,7.1281767,6.0156903
2013-07-18T11-26-03.361  14.217435,7.4347396,6.245612
2013-07-18T11-26-03.365  14.179114,7.2048173,6.820417
2013-07-18T11-26-03.380  13.795911,7.013216,7.586823
2013-07-18T11-26-03.382  13.144466,7.3197784,8.161628
2013-07-18T11-26-03.394  12.493021,6.898255,10.575808
2013-07-18T11-26-03.397  10.960208,6.9365754,9.157956
2013-07-18T11-26-03.399  9.580677,6.898255,10.307566
2013-07-18T11-26-03.421  8.277786,6.9365754,11.457174
2013-07-18T11-26-03.423  6.783294,7.0898566,10.269245
2013-07-18T11-26-03.424  6.0168877,7.2048173,11.6104555
2013-07-18T11-26-03.428  5.4804034,7.281458,11.035651
2013-07-18T11-26-03.444  4.828958,7.4730597,9.886042
2013-07-18T11-26-03.446  3.7943096,7.4347396,10.690768
2013-07-18T11-26-03.461  2.9512627,7.8179426,9.8094015
2013-07-18T11-26-03.463  2.108216,8.316107,10.1542845
2013-07-18T11-26-03.483  1.1885284,8.316107,11.073972
2013-07-18T11-26-03.484  0.72868466,8.354427,10.88237
2013-07-18T11-26-03.486  -0.07604187,8.622669,10.920691
2013-07-18T11-26-03.492  -0.34428406,8.354427,10.997331
2013-07-18T11-26-03.513  -0.65084654,8.277786,10.307566
2013-07-18T11-26-03.514  -0.8041278,8.239466,10.115964
2013-07-18T11-26-03.528  -0.9574091,8.0861845,9.65612
2013-07-18T11-26-03.529  -1.3789325,7.894583,9.234596
2013-07-18T11-26-03.548  -1.9537371,7.894583,9.387877
2013-07-18T11-26-03.551  -2.7967842,7.626341,9.426198
2013-07-18T11-26-03.552  -3.294948,7.626341,9.349558
2013-07-18T11-26-03.567  -3.2566278,7.396419,9.771081
2013-07-18T11-26-03.568  -3.0650263,7.166497,9.541159
2013-07-18T11-26-03.572  -3.1033466,7.2048173,9.426198
2013-07-18T11-26-03.580  -2.6435027,6.9748955,8.928034
2013-07-18T11-26-03.597  -2.413581,6.8216143,8.199948
2013-07-18T11-26-03.598  -2.1453388,6.668333,7.931706
2013-07-18T11-26-03.613  -1.8387762,6.668333,7.4718623
2013-07-18T11-26-03.614  -1.9154168,6.630013,7.1269794
2013-07-18T11-26-03.630  -2.2219794,6.400091,7.1269794
2013-07-18T11-26-03.632  -2.7584639,6.7066536,7.3952217
2013-07-18T11-26-03.653  -2.9883857,6.630013,7.3952217
2013-07-18T11-26-03.654  -3.141667,6.400091,7.586823
2013-07-18T11-26-03.655  -3.026706,6.438411,7.4718623
2013-07-18T11-26-03.661  -2.911745,6.32345,6.9353776
2013-07-18T11-26-03.684  -2.1453388,5.901927,6.475534
2013-07-18T11-26-03.686  -2.0303779,5.672005,6.3222528
2013-07-18T11-26-03.688  -1.07237,5.518724,6.0156903
2013-07-18T11-26-03.701  -0.65084654,5.4420834,5.9390497
2013-07-18T11-26-03.704  -0.61252624,5.403763,5.97737
2013-07-18T11-26-03.722  -0.57420594,5.327122,6.0156903
2013-07-18T11-26-03.723  -0.57420594,5.2504816,5.709128
2013-07-18T11-26-03.725  -0.9190887,5.0972004,5.5941668
2013-07-18T11-26-03.733  -1.3022919,5.212161,5.1726437
2013-07-18T11-26-03.749  -1.1490107,5.02056,4.7127995
2013-07-18T11-26-03.751  -1.1106904,5.0972004,4.5211983
2013-07-18T11-26-03.766  -0.9574091,4.9055986,4.252956
2013-07-18T11-26-03.767  -0.459245,4.7139974,4.1763153
2013-07-18T11-26-03.782  -0.07604187,4.560716,4.4445577
2013-07-18T11-26-03.783  0.34548157,4.675677,4.4828777
2013-07-18T11-26-03.801  0.69036436,4.7523174,4.9044013
2013-07-18T11-26-03.802  1.0352472,4.5223956,4.8660808
2013-07-18T11-26-03.816  1.2268487,4.4840755,4.9427214
